	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts
FBgn0035727	-48.587107	-46.384152	-45.159046	-53.532616	67.307535	87.132976	39.222409
FBgn0000116	-358.141627	-267.640390	-450.618317	-383.059263	635.420318	825.846965	-1.807686
FBgn0023479	594.259403	2443.022563	2474.684386	1634.381052	-2521.820559	-2241.956005	-2382.570839
FBgn0040827	135.101299	139.151257	225.896429	98.321435	-195.285151	-228.144497	-175.040772
FBgn0001225	-256.559161	-245.343288	-300.469389	-177.873372	495.516229	289.473480	195.255501
FBgn0001224	-406.832186	-426.514657	-411.399555	-264.484640	696.338766	421.430167	391.462105
FBgn0001226	-1069.831762	-895.082201	-894.365004	-628.763010	1422.545185	1096.139623	969.357168
FBgn0029167	2687.157104	3374.524736	2278.337012	2568.724176	-3757.269964	-3487.642780	-3663.830284
FBgn0263232	-92.703149	-181.723277	-151.739771	-219.390151	72.027227	153.301301	420.227820
FBgn0004396	-1600.408250	-934.546270	-357.374407	-1654.613401	1060.574097	965.070287	2521.297943
