	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts
FBgn0002609	1.631325	0.493023	0.442452	0.300174	-1.103772	-1.017778	-0.745423
FBgn0039419	0.824556	0.907746	0.883004	0.569884	-1.069167	-1.127812	-0.988212
FBgn0026562	0.259263	1.076527	0.222598	1.362392	-0.890454	-0.930925	-1.099400
FBgn0039464	-1.013383	-0.581852	-0.821115	-0.529065	1.365491	1.322746	0.257178
FBgn0039479	-0.995896	-0.621227	-0.824221	-0.683241	1.173864	1.288010	0.662711
FBgn0039485	-0.736055	-0.968747	-0.736048	-0.697251	0.695127	1.332322	1.110651
FBgn0039593	-0.784866	-1.084302	-0.720947	-0.522747	1.275314	0.694580	1.142969
FBgn0039640	0.154171	0.862773	0.963425	1.075904	-1.151407	-0.897215	-1.007651
FBgn0024288	0.458692	1.026169	0.797556	0.877880	-1.063178	-1.032623	-1.064496
FBgn0039827	0.709923	1.049241	0.496879	0.904061	-1.021615	-1.086863	-1.051627
FBgn0016715	0.475119	0.625980	1.156834	0.876090	-1.080177	-1.008394	-1.045453
FBgn0035147	0.772273	0.859056	0.021967	1.274469	-0.779159	-0.823783	-1.324823
FBgn0264475	1.274451	0.497899	0.655676	0.683596	-1.019405	-1.083441	-1.008775
FBgn0063667	-0.807079	-0.952939	-0.794512	-0.569823	1.417859	0.948640	0.757853
FBgn0035189	-0.883252	-0.664826	-0.743032	-0.817794	0.993472	1.465439	0.649993
FBgn0020248	-0.815811	-0.718683	-0.779162	-0.859651	1.333915	0.940194	0.899199
FBgn0035344	0.565044	1.123081	0.691153	0.767606	-1.071078	-0.878523	-1.197284
FBgn0035523	-0.959776	-1.010837	-0.261832	-0.517414	0.035920	1.492507	1.221432
FBgn0262733	-0.899745	-0.708267	-0.668925	-0.860776	0.772679	0.951541	1.413491
